"name","ratings","unweighted"
"The Shawshank Redemption",9.3,9.1
"The Godfather",9.2,9
"The Dark Knight",9,8.9
"The Godfather: Part II",9,8.8
"12 Angry Men",9,8.8
"Schindler's List",9,8.8
"The Lord of the Rings: The Return of the King",9,8.8
"Pulp Fiction",8.9,8.7
"The Lord of the Rings: The Fellowship of the Ring",8.8,8.7
"Il Buono, Il Brutto, Il Cattivo",8.8,8.7
"Forrest Gump",8.8,8.7
"Fight Club",8.8,8.7
"The Lord of the Rings: The Two Towers",8.8,8.6
"Inception",8.8,8.7
"Star Wars: Episode V - The Empire Strikes Back",8.7,8.6
"The Matrix",8.7,8.6
"GoodFellas",8.7,8.6
"One Flew Over the Cuckoo's Nest",8.7,8.6
"Spider-man: Across the Spider-verse",8.8,8.7
"Se7en",8.6,8.5
"It's a Wonderful Life",8.6,8.5
"Shichinin No Samurai",8.6,8.4
"The Silence of the Lambs",8.6,8.5
"Interstellar",8.7,8.7
"Saving Private Ryan",8.6,8.5
"City of God",8.6,8.5
"Life Is Beautiful",8.6,8.6
"The Green Mile",8.6,8.6
"Star Wars: Episode IV - A New Hope",8.6,8.5
"Terminator 2: Judgment Day",8.6,8.4
"Back to the Future",8.5,8.4
"Spirited Away",8.6,8.5
"The Pianist",8.5,8.5
"Psycho",8.5,8.4
"Parasite",8.5,8.5
"Gladiator",8.5,8.5
"The Lion King",8.5,8.5
"Léon",8.5,8.5
"Oppenheimer",8.6,8.7
"American History X",8.5,8.5
"The Departed",8.5,8.5
"Whiplash",8.5,8.5
"The Prestige",8.5,8.5
"The Usual Suspects",8.5,8.5
"Grave of the Fireflies",8.5,8.4
"Casablanca",8.5,8.4
"Seppuku",8.6,8.3
"Intouchables",8.5,8.5
"Modern Times",8.5,8.3
"Cinema Paradiso",8.5,8.4
"C'era Una Volta Il West",8.5,8.3
"Rear Window",8.5,8.4
"Alien",8.5,8.4
"City Lights",8.5,8.3
"Apocalypse Now",8.4,8.3
"Memento",8.4,8.3
"Django Unchained",8.5,8.4
"Raiders of the Lost Ark",8.4,8.4
"WALL·E",8.4,8.3
"Das Leben der Anderen",8.4,8.4
"Sunset Blvd.",8.4,8.2
"Paths of Glory",8.4,8.2
"Avengers: Infinity War",8.4,8.4
"The Shining",8.4,8.3
"The Great Dictator",8.4,8.3
"Witness for the Prosecution",8.4,8.2
"Spider-Man: Into the Spider-Verse",8.4,8.4
"Alien 2",8.4,8.3
"The Dark Knight Rises",8.4,8.4
"American Beauty",8.3,8.2
"Inglourious Basterds",8.3,8.3
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",8.4,8.2
"Oldeuboi",8.4,8.3
"Coco",8.4,8.4
"Amadeus",8.4,8.3
"Toy Story",8.3,8.3
"Das Boot",8.4,8.3
"Braveheart",8.3,8.3
"Joker",8.4,8.4
"Avengers: Endgame",8.4,8.3
"Mononoke-hime",8.3,8.3
"Good Will Hunting",8.3,8.3
"Once Upon a Time in America",8.3,8.3
"Kimi No Na Wa.",8.4,8.5
"3 Idiots",8.4,8.5
